Index,Height.Inches,Weight.Pounds
22946,61.92639,78.01476
14107,61.90725,78.56785
24611,66.56804,82.38298
728,63.1255,83.08527
15006,65.47213,83.33859
8318,65.00921,84.26295
250,65.93895,84.3598
3516,63.96935,84.86345
10241,61.93152,85.2904
21102,65.84174,85.98927
6348,64.51185,86.49925
5706,62.87732,86.669
5367,66.64317,86.982
12447,64.74007,87.3791
22739,62.87593,87.80417
2652,60.61265,88.04646
19204,63.86542,88.16618
7321,65.36397,88.81051
12732,62.398,89.1971
10478,64.77966,89.64885
17266,62.95082,89.82395
19855,64.74935,89.95606
7418,64.55084,90.03145
8415,66.49187,90.16983
14399,65.39821,90.24255
17599,66.52168,90.28757
1433,64.87469,90.29334
11486,68.48521,90.53995
16553,65.5277,90.67684
2486,63.1937,90.6784
2010,64.01976,90.91793
12700,66.9517,91.22631
8151,65.97774,91.25752
6257,67.66363,91.26068
22283,64.1425,91.37972
19473,62.50167,91.57279
13707,67.88128,91.79628
8125,64.84131,91.8085
11452,67.48496,91.91782
5842,62.34907,92.08858
6439,64.7652,92.20107
20392,65.63699,92.23364
15111,64.43238,92.31443
3598,63.32113,92.37513
22284,64.02389,92.55327
12725,62.70318,92.59193
5467,63.83987,92.65767
21359,64.18161,92.72194
294,69.13438,92.74955
11521,65.38562,92.82921
17264,63.66612,92.91629
11352,68.00487,92.95851
6365,64.13956,93.09256
20355,64.39522,93.13802
17036,63.83399,93.14015
5453,63.44115,93.29146
2259,64.95274,93.44115
8921,66.87611,93.44279
18683,64.42529,93.4895
15537,68.36325,93.56304
9595,66.14828,93.75301
16199,64.42715,93.77605
2621,67.00444,93.78282
16059,64.95423,93.85997
11951,63.95804,93.96913
473,65.69989,93.99438
16886,63.75507,94.05081
23273,65.53499,94.12903
17379,64.46887,94.18679
20763,66.25942,94.20537
8375,65.16644,94.21964
2791,64.68621,94.21971
18689,65.73213,94.24776
21945,65.27345,94.26051
2099,64.54303,94.29987
24836,65.17339,94.40946
14728,65.11114,94.45359
23760,66.78251,94.51209
1727,64.0967,94.51219
6199,64.93136,94.59876
3102,65.22202,94.61233
23545,65.96306,94.7257
11402,66.38974,94.80076
6406,62.23548,94.80998
7621,65.65727,94.93893
11196,63.92414,94.96925
9246,65.7164,94.98665
12744,65.00704,95.01295
21220,65.02588,95.09752
23067,63.83059,95.14852
1272,65.0276,95.18466
699,65.75638,95.20216
22195,68.10091,95.27771
14903,65.19706,95.36862
17118,64.99349,95.53404
23735,65.25826,95.63814
18880,64.4891,95.6685
734,64.96937,95.70426
9428,64.82933,95.71141
18538,66.43047,95.71513
8418,62.92771,95.73883
3697,61.8934,95.74545
1517,65.37482,95.80713
18611,65.01063,95.82746
15470,65.67533,95.8643
4460,67.00383,95.88791
24749,63.33113,95.95417
19541,63.71868,96.00666
9495,64.60903,96.02104
8956,62.6827,96.03438
24111,67.72305,96.06788
22618,65.42909,96.09124
17390,63.85158,96.09962
12613,62.57873,96.11534
16380,64.39356,96.18308
19427,62.97683,96.29756
23426,67.11189,96.36193
18443,67.39995,96.39088
10027,66.28867,96.43706
10458,63.02884,96.47744
9984,64.75128,96.50653
1344,65.33269,96.52385
6181,65.39064,96.54815
24379,68.3735,96.55141
16492,65.71741,96.56954
10912,65.43668,96.64915
10502,64.93386,96.67888
9464,64.5222,96.68665
21136,64.25649,96.69205
11153,67.62197,96.74634
16565,66.64738,96.76496
22508,61.5772,96.8142
22145,65.32142,96.822
20471,64.78426,96.84397
23772,64.92467,96.91718
15918,65.63352,96.94675
14117,66.27846,96.95428
13388,69.05992,96.98373
20222,66.72956,96.99228
16970,66.05943,97.01374
2797,63.86895,97.02574
13762,66.96378,97.03296
2819,63.7678,97.04078
6793,65.36984,97.06459
21934,67.55474,97.14789
21038,66.23984,97.1995
14922,65.92313,97.29027
19949,67.10731,97.30055
7205,69.18094,97.38482
19395,65.56974,97.43419
20223,66.46165,97.49168
14820,67.09404,97.52424
7398,64.82835,97.5369
11241,66.5181,97.54695
17115,65.67921,97.5587
11386,65.11059,97.59535
10862,62.44899,97.60294
16707,65.74714,97.61486
8795,67.71976,97.61996
20277,68.22857,97.6209
19872,67.14367,97.69037
24335,66.85479,97.71783
3611,64.80236,97.79781
24853,66.56404,97.80735
13369,64.58855,97.81632
4785,65.393,97.8247
8608,68.43352,97.83008
3552,66.51685,97.84025
5699,68.48985,97.85054
16330,63.19011,97.85324
23,63.48115,97.90191
18424,66.18385,97.99029
24869,63.23624,97.99816
6518,66.58507,98.00565
19170,65.50773,98.01516
20758,66.4584,98.04174
2519,65.39888,98.05813
2603,62.86795,98.05815
11607,64.60544,98.10936
18967,69.72645,98.13857
18189,64.83389,98.21334
19972,65.86077,98.2528
14465,64.94173,98.26427
13251,64.80749,98.27368
16510,68.52431,98.28103
5046,66.27965,98.28455
1023,66.54306,98.30262
6255,65.9282,98.38391
4390,65.72614,98.39409
17141,68.05392,98.44388
19375,68.07379,98.47485
9789,66.98612,98.47799
7665,66.85375,98.47908
24228,66.83403,98.53013
23686,68.87957,98.57059
104,65.61073,98.64133
21557,66.09519,98.68208
18473,65.50771,98.70684
12290,66.41627,98.73281
10406,67.2978,98.74301
9731,63.92053,98.7457
15022,62.63031,98.87507
630,64.56145,98.8972
10632,68.06028,98.9001
23867,64.60565,98.9372
20015,67.30641,98.95785
13336,63.96038,98.96049
18256,67.42592,98.99675
15289,66.80746,99.00428
19243,66.9424,99.05577
